Ti [at.%]	Fe [at.%]	W [at.%]	Photocurrent Density [mA/cm2]	Ti Stability	Fe Stability	W Stability	mC/nmol
54.86592	39.12197	6.01211	0.01073	0	-0.18004	-15.18937	0.09473
60.08101	33.05581	6.86319	0.00425	0	-0.13201	-0.26869	1.28979
64.56231	28.04506	7.39263	0.01862	0	-0.19001	-1.30689	1.85912
68.15895	23.99396	7.84708	0.00967	0	-0.10555	-2.41612	0.52099
61.74719	31.98765	6.26517	0.00268	0	-0.00909	0	42.56584
65.98703	26.78406	7.22892	0.01649	0	-0.20017	-1.07072	2.07503
69.47473	23.19128	7.33399	0.00534	0	0	-0.72833	0.9989
61.51685	32.77874	5.70441	0.0017	0	-0.04348	0	6.64767
66.15213	27.74049	6.10738	0.00736	0	-0.06703	0	15.40154
69.78803	23.82949	6.38248	0.00353	0	0	-0.6337	0.53696
67.0467	27.84477	5.10853	0.00258	0	-0.07131	0.47756	-0.67071
70.7251	23.71809	5.55681	0.06313	0	-0.26164	-3.78251	-0.05218
